Questão,Curso,UF,Região,Cat. Adm.,Org. Acad.,Brasil
9.0,-,-,-,-,-,-
10.0,-,-,-,-,-,-
11.0,"18,9","23,3","21,8","19,2","17,5","21,6"
12.0,"45,9","53,5","53,3","52,1","51,4","52,0"
13.0,"27,0","39,4","39,7","40,1","38,6","39,3"
14.0,-,-,-,-,-,-
15.0,"54,1","51,3","52,7","51,0","50,1","50,1"
16.0,"64,9","75,0","72,1","70,7","69,1","72,2"
17.0,"78,4","76,7","74,9","72,6","69,9","73,8"
18.0,"45,9","42,6","39,4","38,3","36,0","37,8"
19.0,"43,2","50,4","47,4","43,5","41,3","46,0"
20.0,"37,8","39,6","35,4","31,7","29,9","35,9"
21.0,"35,1","31,6","29,6","29,4","29,2","30,2"
22.0,"51,4","42,3","41,4","40,4","39,9","41,7"
23.0,"51,4","46,6","46,3","45,3","44,0","45,5"
24.0,"24,3","28,4","28,7","26,5","24,8","27,5"
25.0,-,-,-,-,-,-
26.0,"51,4","54,6","49,7","47,4","46,0","49,0"
27.0,"43,2","54,4","50,8","48,6","45,4","50,8"
28.0,"48,6","41,6","41,5","40,6","38,0","40,3"
29.0,-,-,-,-,-,-
30.0,"48,6","58,1","55,7","54,0","52,4","54,6"
31.0,"54,1","50,9","49,2","49,4","48,6","49,3"
32.0,"27,0","31,6","31,0","29,7","27,0","29,9"
33.0,"81,1","85,2","82,5","82,4","81,6","83,0"
34.0,"35,1","46,9","43,8","42,1","41,4","43,7"
35.0,"59,5","59,9","55,4","53,4","51,5","54,8"
